TIMESTAMP,POWER,U10,V10,WS10,U100,V100,WS100
20120101 1:00,0.2736781568,0.5348940035,-3.6602432799,3.6991204986,0.7653547076,-4.4866574991,4.5514682623
20120101 2:00,0.0867959455,0.3308130989,-2.6764297561,2.6967969048,0.4698749908,-3.2137524558,3.2479204661
20120101 3:00,0.0068114015,-0.0658387244,-2.0290719396,2.0301398163,-0.0208930445,-2.4181190094,2.4182092678
20120101 4:00,0.0186459868,-0.4195494463,-1.7990895574,1.847361625,-0.4448668144,-2.1496537361,2.1952033317
20120101 5:00,0.0348118328,-0.7542244222,-1.6615260214,1.8246981117,-0.838273717,-1.9918286966,2.1610378019
20120101 6:00,0.0219168973,-1.2566795778,-1.6078634656,2.040702939,-1.4388560532,-1.944643891,2.419079702
20120101 7:00,0.01823263,-1.8118150537,-1.7075224979,2.4896399076,-2.1334032035,-2.0910794947,2.9873102754
20120101 8:00,0.0096419971,-2.404136638,-2.2360560836,3.2832635872,-2.9904075928,-2.8520022794,4.1323667036
20120101 9:00,0.0055353869,-2.7224320185,-2.5746412573,3.7470540028,-4.3087452563,-4.2659193855,6.0632791365
20120101 10:00,0.01721721,-2.5471260788,-2.6534315179,3.6781177362,-4.8181930439,-5.626143437,7.4073257105
20120101 11:00,0.3099636965,-2.2514079784,-2.9004496321,3.6717088601,-4.2532720528,-6.4098450934,7.6926222627
20120101 12:00,0.7259534165,-2.0172240336,-3.3323054386,3.8953115842,-3.602877044,-7.274899863,8.1181827406
20120101 13:00,0.7495956292,-1.8941557224,-4.1091348184,4.5246894763,-3.218526991,-8.3178467732,8.9188278902
20120101 14:00,0.7055371841,-1.8180127384,-4.6193549923,4.9642331595,-3.0419184246,-8.9355880789,9.4391737995
20120101 15:00,0.8320603142,-1.6280979704,-4.7330685034,5.0052612778,-2.7153057875,-9.1248696554,9.5203010324
20120101 16:00,0.8691725675,-1.619244135,-4.549508491,4.8290764209,-2.712475522,-8.9632481373,9.3646858265
20120101 17:00,0.8407138493,-1.6745806059,-4.2846028582,4.6002219357,-2.8013458583,-8.6964099263,9.1364700089
20120101 18:00,0.883595126,-1.807388136,-3.9702936025,4.3623254308,-2.9088959468,-8.2836784657,8.7795788368
20120101 19:00,0.9623216275,-1.9539191109,-3.7735308978,4.2493923482,-3.1630537875,-7.9376565579,8.5446650545
20120101 20:00,0.9568401567,-1.6670548459,-4.0252338383,4.3567854333,-2.5879438406,-8.3015761506,8.6956092315
20120101 21:00,0.9211117501,-1.1712400668,-4.6282987516,4.7741965426,-1.4428184249,-8.2527642827,8.3779378915
20120101 22:00,0.9073541569,-0.5027754985,-5.1619430569,5.1863705348,-0.4222246905,-7.8053221605,7.8167338268
20120101 23:00,0.9187574135,0.366671132,-5.8910723871,5.9024724979,0.6504459288,-7.9349447874,7.9615594381
20120102 0:00,0.8352323784,1.5800892655,-6.1457565807,6.3456288921,2.2257716985,-8.0276873364,8.3305356145
20120102 1:00,0.5826264333,1.2683504917,-6.0793857563,6.2102853512,1.7606715722,-7.8511175676,8.0461177872
20120102 2:00,0.3335969232,1.4175261798,-5.1350390851,5.3271011701,1.8979525613,-6.5095276888,6.780573328
20120102 3:00,0.1485209015,1.1811962173,-4.4630431781,4.6167065007,1.576766851,-5.5705218439,5.7893788368
20120102 4:00,0.1251033392,1.0555319148,-3.942024325,4.0808949266,1.4084033739,-4.8916966379,5.0904121701
20120102 5:00,0.0620214946,1.1872767481,-3.5089696939,3.7043885311,1.5596714826,-4.3729414135,4.6427569115
20120102 6:00,0.0282520398,1.2375424691,-2.6098738485,2.8884170176,1.6218364587,-3.2631585649,3.6439754827
20120102 7:00,0.1159915172,2.9413071905,-0.1062767623,2.9432265864,3.6453064333,-0.1586574848,3.6487574858
20120102 8:00,0.2247582761,4.1043100421,6.7485889756,7.8986590054,5.5045572624,9.7410552198,11.1887580834
