TIMESTAMP,U10,V10,WS10,U100,V100,WS100
20131101 1:00,3.4622514603,-1.0663743856,3.6227530283,4.3236711016,-1.3308594583,4.5238610382
20131101 2:00,3.6513406479,-0.3377166709,3.6669252892,4.5324442929,-0.4514255833,4.5548695179
20131101 3:00,3.6578290024,0.3280494811,3.672509969,4.5272680981,0.341373771,4.540120316
20131101 4:00,3.5516980613,0.7353706176,3.6270275797,4.3955626964,0.8187985394,4.4711746182
20131101 5:00,3.586920557,1.0508111118,3.7376734843,4.4611278309,1.2519711426,4.6334752902
20131101 6:00,3.5683824014,1.1849470229,3.7599803735,4.4783818136,1.4420684721,4.7048342316
20131101 7:00,3.2254265218,1.2596307536,3.462664564,4.113172512,1.5735784279,4.4039002239
20131101 8:00,2.2975918315,1.1633280482,2.5753175283,3.3327173589,1.720670132,3.7506946953
20131101 9:00,1.6329989514,1.1869123842,2.0187735343,2.1174618404,1.479464668,2.5831105957
20131101 10:00,-0.224060791,0.9672832551,0.9928948251,0.7141379099,1.2083422473,1.4035967872
20131101 11:00,-0.5554303232,0.4066639345,0.6883882622,-0.3510079587,0.44359004,0.5656666073
20131101 12:00,-1.0443741785,0.2464869857,1.0730672201,-0.8876068223,-0.5218550857,1.029649747
20131101 13:00,-1.2019485016,-0.2443620075,1.2265369913,-0.645475931,-1.1289200001,1.3004228329
20131101 14:00,-0.8724327849,-0.3244504819,0.930809905,0.0130510774,-0.9288503518,0.9289420362
20131101 15:00,0.2375392847,0.4612027115,0.5187801585,0.9867508373,-0.0282252991,0.987154437
20131101 16:00,0.5869835188,0.9500863434,1.1167872274,1.4980438596,0.7602111658,1.6798977414
20131101 17:00,0.3682332821,1.2478385856,1.3010368502,1.2547627028,1.2326497747,1.7589357314
20131101 18:00,0.0753304228,1.4807339037,1.4826488344,0.9010560563,1.4856973674,1.7375841517
20131101 19:00,-0.1156125804,1.2429251822,1.248290542,0.8228380012,1.1965001186,1.4521277182
20131101 20:00,-0.1758615863,0.5019839592,0.5318977278,0.8188120719,0.4005844146,0.9115487273
